Name,Price,Rating,Processor,RAM,OS,Display,Storage,Warranty
HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Light Laptop,"₹49,990",4.3,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year Onsite Warranty
Infinix Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home) INBook X2 Plus Core i7 Thin and Light Lapt...,"₹52,990",N/A,Intel Core i7 Processor (11th Gen),16 GB LPDDR4X RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty
DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 3000 Thin and Light...,"₹52,990",4,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,
HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Light Laptop,"₹49,990",4.3,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year Onsite Warranty
HP OMEN Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) 16...,"₹1,02,990",N/A,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,40.89 cm (16.1 Inch) Display,512 GB SSD,1 Year Onsite Warranty
APPLE MacBook Air M1 - (8 GB/512 GB SSD/Mac OS Big Sur) Z12A000D3,"₹1,09,990",4.7,Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,33.78 cm (13.3 inch) Display,512 GB SSD,
DELL Vostro Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) vostro 3510 icl Thin and Light Laptop,"₹40,690",4.1,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,512 GB SSD,1 Year Onsite Warranty
HP Spectre x360 (2023) OLED Eyesafe Intel Evo Core i7 13th Gen - (16 GB/1 TB SSD/Windows 11 Home) ef20...,"₹1,39,990",N/A,Intel Core i7 Processor (13th Gen),16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,34.29 cm (13.5 Inch) Touchscreen Display,,1 Year Onsite Warranty
ASUS Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X415JA-EK522WS Laptop,"₹51,490",4.2,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows 11 Operating System,35.56 cm (14 inch) Display,512 GB SSD,1 Year Onsite Warranty
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA...,"₹48,990",4.3,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,100.63 cm (39.62 cm) Display,512 GB SSD,1Year Onsite warranty
HP 15s (2023) Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0030AU Thin and Light ...,"₹50,990",4.4,AMD Ryzen 5 Quad Core Processor,16 GB LPDDR5 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year Onsite Warranty
DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) New Inspiron 15 Metal Laptop T...,"₹67,990",4.2,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,
"ASUS Zenbook Pro 14 Duo OLED (2023) For Creator, Intel H-Series Core i5 13th Gen - (16 GB/1 TB SSD/Win...","₹2,04,450",N/A,Intel Core i5 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,36.83 cm (14.5 Inch) Touchscreen Display,,1 Year Onsite Warranty
HP Chromebook x360 Intel Celeron Quad Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromebo...,"₹19,990",3.7,Intel Celeron Quad Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,35.56 cm (14 Inch) Touchscreen Display,,1 Year Onsite warranty
HP 15s (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0028AU Thin and Light L...,"₹45,350",4.4,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year Onsite Warranty
MSI Core i7 13th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4070) Pulse 17...,"₹1,59,990",N/A,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,43.94 cm (17.3 Inch) Display,,2 Year Carry-in Warranty
MSI Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-671IN Thin and Light Laptop,"₹65,990",N/A,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,35.56 cm (14 Inch) Display,512 GB SSD,1 Year Carry-in warranty
CHUWI Celeron Dual Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹19,990",4.5,Intel Celeron Dual Core Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,35.81 cm (14.1 inch) Display,256 GB SSD,1 Year Onsite Warranty
HP Pavilion Plus Creator OLED Eyesafe (2023) Intel H-Series Core i5 12th Gen - (16 GB/512 GB SSD/Windo...,"₹79,990",4.5,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,35.56 cm (14 Inch) Display,512 GB SSD,1 Year Onsite Warranty
HP Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 14s-fy1005AU Thin and Light Laptop,"₹56,990",4.2,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,512 GB SSD,1 Year Onsite Warranty
HP 15s (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0029AU Thin and Light L...,"₹48,990",4.5,AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year Onsite Warranty
HP Envy x360 Creator OLED Eyesafe Intel Evo Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) x360...,"₹90,990",4.1,Intel Core i5 Processor (12th Gen),16 GB LPDDR4X RAM,Windows 11 Operating System,33.78 cm (13.3 Inch) Touchscreen Display,512 GB SSD,1 Year Onsite Warranty
ASUS ROG Zephyrus M16 (2022) with 90Whr Battery Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 G...,"₹1,64,990",5,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,40.64 cm (16 Inch) Display,,1 Year Onsite Warranty
Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,"₹13,990",4.1,MediaTek MediaTek MT8788 Processor,4 GB LPDDR4 RAM,Prime OS Operating System,29.46 cm (11.6 Inch) Display,,1 Year Pick and Drop Warranty
HP Pavilion Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light Lap...,"₹51,490",4.4,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,512 GB SSD,1 Year Onsite Warranty
ASUS VivoBook Flip 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) TP470EA-EC512WS 2 in 1 Lapt...,"₹63,990",4.5,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Touchscreen Display,512 GB SSD,1 Year onsite warranty
ASUS TUF Gaming F15 (2023) with 90WHr Battery Intel H-Series Core i7 13th Gen - (16 GB/512 GB SSD/Wind...,"₹1,29,990",N/A,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year Onsite Warranty
DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 3511 Thin an...,"₹62,490",4.3,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,512 GB SSD,1 Year Onsite Warranty
HP G Series Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) 250 G8 Thin and Light Laptop,"₹37,990",4.3,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,512 GB SSD,1 Year Onsite Warranty
HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Light Laptop,"₹49,990",4.3,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year Onsite Warranty
HP (2023) Intel 12th Gen N305 Core i3 - (8 GB/512 GB SSD/Windows 11 Home) 14-Ep0068TU Thin and Light L...,"₹41,990",N/A,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,512 GB SSD,1 Year Onsite Warranty
DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 5518 Thin an...,"₹71,857",N/A,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,512 GB SSD,1 Year Onsite Warranty
DELL Vostro Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10) Vostro 3405 Thin and Light Laptop,"₹46,490",4.2,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,35.56 cm (14 inches) Display,512 GB SSD,1 Year Onsite Warranty
HP Chromebook x360 Intel Celeron Quad Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromebo...,"₹19,990",3.7,Intel Celeron Quad Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,35.56 cm (14 Inch) Touchscreen Display,,1 Year Onsite warranty
HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,"₹33,990",4.1,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year Onsite Warranty
DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Lig...,"₹41,990",4,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,1 Year Onsite Warranty
MSI Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) GF63 Th...,"₹78,990",N/A,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,2 Year Carry-in Warranty
HP 15s (2023) Intel Core i5 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0011TU Thin and Light La...,"₹62,990",3.9,Intel Core i5 Processor (13th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year Onsite Warranty
MSI Core i7 11th Gen - (16 GB/1 TB HDD/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 205...,"₹68,990",N/A,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 TB HDD|512 GB SSD,2 Year Carry-in Warranty
HP Pavilion (2023) Eyesafe Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019AU Th...,"₹57,990",4.4,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,512 GB SSD,1 Year Onsite Warranty
Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,"₹13,990",4.1,MediaTek MediaTek MT8788 Processor,4 GB LPDDR4 RAM,Prime OS Operating System,29.46 cm (11.6 Inch) Display,,1 Year Pick and Drop Warranty
Acer Aspire Vero Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) AV14-52P Thin and Light Laptop,"₹62,990",N/A,Intel Core i5 Processor (13th Gen),16 GB LPDDR4X RAM,Windows 11 Operating System,35.56 cm (14 Inch) Display,512 GB SSD,1 Year Onsite Warranty
DELL Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 5518 Thin and Light L...,"₹70,430",N/A,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,
HP 15s (2023) Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0030AU Thin and Light ...,"₹50,990",4.4,AMD Ryzen 5 Quad Core Processor,16 GB LPDDR5 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year Onsite Warranty
HP 15s (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0028AU Thin and Light L...,"₹45,350",4.4,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year Onsite Warranty
ASUS Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X415JA-EK522WS Laptop,"₹51,490",4.2,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows 11 Operating System,35.56 cm (14 inch) Display,512 GB SSD,1 Year Onsite Warranty
MSI Core i9 13th Gen - (64 GB/4 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 4090) Titan G...,"₹5,90,990",N/A,Intel Core i9 Processor (13th Gen),64 GB DDR5 RAM,Windows 11 Operating System,43.94 cm (17.3 Inch) Display,,2 Year Carry-in Warranty
Lenovo IdeaPad Gaming 3 Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA...,"₹85,998",N/A,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,512 GB SSD,1 Year Onsite Warranty
ASUS Vivobook S 14 Flip Ryzen 5 Hexa Core R5-5600H - (8 GB/512 GB SSD/Windows 11 Home) TN3402QA-LZ501W...,"₹55,990",N/A,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.81 cm (14.1 inch) Touchscreen Display,512 GB SSD,1 Year Onsite Warranty
HP OMEN Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) 16...,"₹1,02,990",N/A,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,40.89 cm (16.1 Inch) Display,512 GB SSD,1 Year Onsite Warranty
CHUWI Celeron Dual Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹19,990",4.5,Intel Celeron Dual Core Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,35.81 cm (14.1 inch) Display,256 GB SSD,1 Year Onsite Warranty
MSI Core i7 13th Gen - (16 GB/1 TB SSD/Windows 11 Home) Summit E13FlipEvo A13MT-226IN Thin and Light L...,"₹1,37,990",N/A,Intel Core i7 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,34.04 cm (13.4 Inch) Display,,2 Year Carry-in Warranty
Acer Aspire Vero Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) AV14-52P Thin and Light Laptop,"₹62,990",N/A,Intel Core i5 Processor (13th Gen),16 GB LPDDR4X RAM,Windows 11 Operating System,35.56 cm (14 Inch) Display,512 GB SSD,1 Year Onsite Warranty
HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Light Laptop,"₹49,990",4.3,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year Onsite Warranty
HP Chromebook x360 Intel Celeron Quad Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromebo...,"₹19,990",3.7,Intel Celeron Quad Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,35.56 cm (14 Inch) Touchscreen Display,,1 Year Onsite warranty
DELL Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3425 Notebook,"₹55,990",4.1,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,512 GB SSD,
MSI Core i7 13th Gen - (16 GB/1 TB SSD/Windows 11 Home) Prestige 16Studio A13VE-031IN Laptop,"₹1,69,990",N/A,Intel Core i7 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,40.64 cm (16 Inch) Display,,2 Year Carry-in Warranty
HP Pavilion Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX GTX 1...,"₹67,490",4.5,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year onsite warranty
DELL Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 5518 Thin and Light L...,"₹70,430",N/A,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,
HP Victus Gaming Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹53,990",4.2,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year Onsite Warranty
HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,"₹33,990",4.1,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,1 Year Onsite Warranty
DELL Ryzen 3 Quad Core 5425U - (8 GB/256 GB SSD/Windows 11 Home) Vostro 3425 Thin and Light Laptop,"₹41,568",4.4,Processor: R3-5425U (2.70 GHz up to 4.1 GHz)AMD Ryzen 3 Quad Core Processor,RAM & Storage: 8GB DDR4 & 256GB SSD8 GB DDR4 RAM,64 bit Windows 11 Operating System,"Display:14.0"" FHD WVA AG Narrow Border 250 nits35.56 cm (14 Inch) Display",256 GB SSD,
MSI Core i5 11th Gen - (16 GB/1 TB HDD/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 205...,"₹62,990",N/A,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 TB HDD|512 GB SSD,2 Year Carry-in Warranty
Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,"₹13,990",4.1,MediaTek MediaTek MT8788 Processor,4 GB LPDDR4 RAM,Prime OS Operating System,29.46 cm (11.6 Inch) Display,,1 Year Pick and Drop Warranty
HP Pavilion (2023) Eyesafe Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019AU Th...,"₹57,990",4.4,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,512 GB SSD,1 Year Onsite Warranty
MSI Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) GF63 Th...,"₹54,990",N/A,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,512 GB SSD,2 Year Carry-in Warranty
